r,g,b,color
242,197,184,spring
253,214,204,spring
239,183,166,spring
160,86,69,spring
231,156,143,spring
237,179,165,spring
254,196,189,spring
251,209,200,spring
97,53,41,spring
251,213,203,spring
253,206,198,spring
252,210,198,spring
248,210,201,spring
241,194,179,spring
254,222,215,spring
246,204,192,spring
222,160,140,spring
246,205,194,spring
238,154,158,spring
251,203,195,spring
202,141,123,spring
254,204,198,spring
254,197,190,spring
253,196,188,spring
221,137,123,spring
255,227,222,spring
255,222,216,spring
122,67,52,spring
186,124,106,spring
241,192,181,spring
229,156,142,spring
250,210,202,spring
179,108,93,spring
241,195,181,spring
252,227,220,spring
236,182,169,spring
249,212,202,spring
106,58,46,spring
250,212,201,spring
253,213,203,spring
223,168,137,spring
175,106,51,spring
225,147,89,spring
221,141,80,spring
228,164,129,spring
255,204,177,spring
239,189,166,spring
252,207,183,spring
135,80,42,spring
247,197,174,spring
245,204,174,spring
223,162,134,spring
253,206,183,spring
219,165,131,spring
227,163,122,spring
247,206,181,spring
255,232,211,spring
233,168,127,spring
70,40,17,spring
214,164,144,spring
186,130,103,spring
232,183,153,spring
254,223,196,spring
119,79,55,spring
249,201,173,spring
203,147,120,spring
255,213,187,spring
224,172,140,spring
254,208,185,spring
251,192,163,spring
255,205,183,spring
251,203,171,spring
144,95,63,spring
182,130,94,spring
255,222,201,spring
246,184,151,spring
223,169,142,spring
250,193,163,spring
255,210,187,spring
43,31,20,spring
182,129,104,spring
169,107,85,spring
164,106,69,spring
177,122,83,spring
116,74,66,spring
107,64,53,spring
156,104,64,spring
72,41,35,spring
173,104,83,spring
65,39,33,spring
163,108,68,spring
184,151,117,spring
209,186,164,spring
190,138,116,spring
214,190,178,spring
193,165,138,spring
171,112,76,spring
160,104,75,spring
156,87,72,spring
183,126,104,spring
163,106,71,spring
168,105,70,spring
209,177,158,spring
191,165,144,spring
167,105,76,spring
184,124,104,spring
182,143,121,spring
156,102,61,spring
174,109,90,spring
156,102,78,spring
99,60,55,spring
168,105,70,spring
167,100,83,spring
215,191,178,spring
200,166,145,spring
170,115,76,spring
181,138,101,spring
161,104,61,spring
177,138,103,spring
183,131,112,spring
187,131,96,spring
215,164,123,spring
203,195,169,spring
72,26,17,spring
38,21,14,spring
165,94,54,spring
226,174,145,spring
202,192,167,spring
206,198,173,spring
198,146,111,spring
204,149,104,spring
190,122,78,spring
183,145,105,spring
201,193,168,spring
175,96,69,spring
139,65,13,spring
167,107,69,spring
199,189,164,spring
202,195,168,spring
202,192,167,spring
151,80,27,spring
195,130,89,spring
184,125,93,spring
172,112,54,spring
214,199,175,spring
198,147,108,spring
213,206,188,spring
92,71,62,spring
153,137,120,spring
180,123,72,spring
202,140,104,spring
222,159,130,spring
212,159,123,spring
166,106,83,spring
58,41,33,spring
181,120,76,spring
121,103,80,spring
27,16,15,spring
187,118,87,spring
226,164,139,spring
234,209,191,spring
237,169,154,spring
222,198,175,spring
224,184,162,spring
242,205,186,spring
238,201,180,spring
240,212,198,spring
234,211,195,spring
218,182,152,spring
225,199,180,spring
236,205,184,spring
227,194,172,spring
229,180,161,spring
223,187,163,spring
228,184,164,spring
225,197,174,spring
220,178,159,spring
214,169,146,spring
177,126,116,spring
238,210,191,spring
238,200,181,spring
226,201,181,spring
218,179,157,spring
204,164,138,spring
187,143,127,spring
241,208,188,spring
218,169,148,spring
216,185,163,spring
220,185,162,spring
190,137,122,spring
231,209,188,spring
234,203,186,spring
223,193,173,spring
222,201,186,spring
238,209,191,spring
230,149,134,spring
220,194,172,spring
240,205,185,spring
219,188,171,spring
227,202,183,spring
213,182,165,spring
196,155,139,spring
207,174,161,spring
233,201,190,spring
214,182,167,spring
181,138,119,spring
233,213,200,spring
215,179,168,spring
185,146,125,spring
189,173,164,spring
232,197,184,spring
201,171,162,spring
215,183,166,spring
225,201,189,spring
220,189,181,spring
210,178,163,spring
128,94,79,spring
187,148,129,spring
205,171,157,spring
230,200,180,spring
213,173,160,spring
235,220,210,spring
226,208,199,spring
156,121,101,spring
209,197,194,spring
234,202,191,spring
199,162,140,spring
190,153,140,spring
237,216,207,spring
179,138,123,spring
231,196,185,spring
204,170,156,spring
236,220,211,spring
205,173,159,spring
190,161,152,spring
188,150,130,spring
214,169,152,spring
240,228,220,spring
226,192,181,spring
172,136,118,spring
230,207,196,spring
235,178,158,spring
235,178,159,spring
235,184,170,spring
223,168,147,spring
218,174,151,spring
223,167,146,spring
206,153,141,spring
215,160,138,spring
224,168,147,spring
144,93,71,spring
231,185,172,spring
244,219,208,spring
222,169,149,spring
235,187,171,spring
235,181,165,spring
215,159,136,spring
245,226,226,spring
228,177,163,spring
222,171,150,spring
231,183,165,spring
217,150,131,spring
210,149,131,spring
215,161,139,spring
231,183,169,spring
221,163,140,spring
223,163,140,spring
227,175,159,spring
235,183,170,spring
209,150,136,spring
237,188,174,spring
193,125,97,spring
225,174,156,spring
225,169,149,spring
225,169,148,spring
235,210,203,spring
214,160,130,spring
225,173,154,spring
231,190,178,spring
199,124,98,spring
194,163,157,spring
186,157,139,spring
